k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
5700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,484845395341809296298580772731,651766588178824376252922546460,771329066358717,542087958317662,489378992546506973602773646121,981532947525523473194278398931,535622487445196,798149938398775
5800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,829366522749571839077061619087,346419893625396241498735111363,522597046339818,656848843162460,1197673104733722996848704766650,1221959360892781079304856077230,28881203051762,727019846726511
5900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,55739674187176420626528478520,758339287216109975828822832324,973361267465881,646367273290972,205616609144190066503812531345,1316472362901218289627257519000,1008577626012738,960730872276762
6000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,34881433915515855507558341950,750846418450499090103573638315,874123779387002,862925160411994,1238218526132250868803241378014,1047953331167242760129817855484,434922415378935,559921250981393
6100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,946429864283137514839112120479,410964491865609214210998270370,873729298313792,269826811474225,385011999444953854601048994408,198400100410093772824716025648,846714169015941,45006833081033
6200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,575187685294543941793131711739,495365613076208929084048530088,444739474412966,618882656051127,517412636606212366248585310708,102862670830835918108298719681,384757791737755,1115400777645616
6300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,164815424253151379288436818932,143943196979080707479050801688,205142513230177,55619032451828,1076088396229760302063514962846,716859728638573842398396331369,910308448362171,135643879310731
6400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,388464238671885813694750889611,625207328339898202798602262060,95935837893628,365597790377803,860190310449472756514655515333,1316561051166384779572012680419,174793614398222,853578611111785
6500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,528779933080650971692095701497,1134018708712433576643642507020,1114569260130783,460774649676457,698195527263126237908872666779,27452972817620841012871251981,604991829917311,1145693210772221
6600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1073679965559407892757814829663,308216870040464415002226032889,69122953109522,1106507207966271,1176376102738588151820047520923,1036805382533220852222356888630,571452582317111,1046297250274527
6700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,80655462416958404003447218855,140284158414025769753179828529,730874977352609,984276171934514,515798262423082727009720254831,339441907561825726395744845899,105532715351470,488211593706792
6800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1007688845030456922216277365712,1090136361350222845518270551373,139987447882057,406410319999710,768248226469302703565454712832,149024290534616425365624620680,690893735218761,594992860051968
6900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,336626605383360913814197787920,262047265215465282284857751786,259112759347518,68224519780980,954561302222691189919699949560,1099267544178447709848431497545,628102454521742,190222936810938
7000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,916182275763529290461184577296,907109221409375160109225227383,22634784997866,611642072802756,987514891389415192691742768955,672116645709957047064100830942,490612057155654,136534324280468
7100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,878900566580695597403591270930,1045632901246103352387950460782,706013766411488,719727694400668,415965723518171083850225205126,944415829638318035268471686302,735859805248666,575384525670593
7200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1136888340913193316047320472559,918983367889690592182787139285,999019380032632,208325364684457,132240584555722308363120610937,234514409506624542273257494181,589645834803250,533945935316998
7300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1116909910098457652588101153887,131564945521224836228619725786,160478086238862,653945252970856,11542733699354501759825579205,1293686447300807686007391822335,71656154830400,181178460395423
7400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,113941771016497819442421976600,142676900387668035381036966837,140836112141973,673048427220183,1283300477248286442097005771598,123223561855880894973443124493,1002757963790327,252330227603369
7500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1059881841709486615563097629149,296968445277161140396907961091,626830420638754,472554646822531,448757654465561513792447590600,1065449357368452188311172493809,675013914302117,473151257377938
7600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,591753539235642434442252259823,974150673730416852040957201557,1080962341373845,146049227174858,229613639403629615045475189379,985754632636947653257546379594,1050805195091701,312528525030051
7700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1244852293634192322958209212636,1150616769757209556508510747442,1079370528226321,103827622774875,155799657325181015907456524459,151283946826274818437513780632,211645009468911,235794547864460
7800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,669716413962460648324590945254,39987101751109354709966631081,2480529274908,1070228756750269,414703916047749613404536287113,621114508359753026185514343155,567344078765455,1150613507676028
7900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,413719230367230367753498590108,578990492374974811568212315395,681236279164996,1124170492117675,967407606758731654252913659055,660465724151987071892271878899,1086818359312033,619527658377286
